,DepDelay,DepDelayMinutes,DepartureDelayGroups,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrivalDelayGroups,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DivArrDelay
DepDelay,1.0,0.997,0.814,0.061,0.013,0.966,0.977,0.762,0.011,0.677,0.31,0.084,0.019,0.549,0.323
DepDelayMinutes,0.997,1.0,0.797,0.059,0.018,0.963,0.981,0.748,0.006,0.678,0.31,0.086,0.019,0.549,0.321
DepartureDelayGroups,0.814,0.797,1.0,0.073,0.009,0.79,0.767,0.918,0.016,0.39,0.195,0.051,0.019,0.515,0.303
TaxiOut,0.061,0.059,0.073,1.0,0.018,0.207,0.165,0.278,0.03,-0.049,0.046,0.337,-0.01,-0.101,0.123
TaxiIn,0.013,0.018,0.009,0.018,1.0,0.1,0.078,0.13,0.055,-0.029,-0.0,0.202,-0.006,-0.043,0.071
ArrDelay,0.966,0.963,0.79,0.207,0.1,1.0,0.983,0.83,-0.014,0.674,0.323,0.183,0.017,0.53,
ArrDelayMinutes,0.977,0.981,0.767,0.165,0.078,0.983,1.0,0.776,0.001,0.674,0.323,0.183,0.017,0.53,
ArrivalDelayGroups,0.762,0.748,0.918,0.278,0.13,0.83,0.776,1.0,-0.01,0.389,0.211,0.229,0.015,0.5,
Distance,0.011,0.006,0.016,0.03,0.055,-0.014,0.001,-0.01,1.0,0.005,-0.034,0.028,0.004,-0.019,-0.063
CarrierDelay,0.677,0.678,0.39,-0.049,-0.029,0.674,0.674,0.389,0.005,1.0,-0.035,-0.086,-0.01,-0.056,
WeatherDelay,0.31,0.31,0.195,0.046,-0.0,0.323,0.323,0.211,-0.034,-0.035,1.0,0.001,-0.004,-0.015,
NASDelay,0.084,0.086,0.051,0.337,0.202,0.183,0.183,0.229,0.028,-0.086,0.001,1.0,-0.009,-0.104,
SecurityDelay,0.019,0.019,0.019,-0.01,-0.006,0.017,0.017,0.015,0.004,-0.01,-0.004,-0.009,1.0,-0.008,
LateAircraftDelay,0.549,0.549,0.515,-0.101,-0.043,0.53,0.53,0.5,-0.019,-0.056,-0.015,-0.104,-0.008,1.0,
DivArrDelay,0.323,0.321,0.303,0.123,0.071,,,,-0.063,,,,,,1.0
